user, technique, session, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length, word_length
gd, dwell, 5, asked, 5, Click, Yes, 8.142, 1.127, 0.266232441219, 14.467729994, 13.7082039325
gd, dwell, 5, questions, 9, Click, No, 9.069, 0.0, 0.238125957148, 25.0246580402, 25.2488157457
gd, dwell, 5, sent, 4, Click, Yes, 5.604, 1.177, 0.142061537709, 8.20789807128, 8.4185970685
gd, dwell, 5, this, 4, Click, Yes, 3.167, 0.962, 0.271971360424, 8.51266038797, 9.19572121921
gd, dwell, 5, by, 2, Click, Yes, 0.928, 0.962, 0.096137772729, 1.98156399662, 2.0
gd, dwell, 5, registered, 10, Click, Yes, 11.538, 1.36, 0.249337551231, 20.460379499, 19.7859511432
gd, dwell, 5, mail, 4, Click, Yes, 3.514, 0.0, 0.294847312653, 14.6806154201, 14.9557220757
gd, dwell, 5, fall, 4, Click, Yes, 2.917, 0.929, 0.226189027715, 10.9018848053, 11.0
gd, dwell, 5, is, 2, Click, Yes, 1.327, 0.912, 0.464247329199, 5.37763027822, 5.59016994375
gd, dwell, 5, my, 2, Click, Yes, 1.078, 0.895, 0.333305040384, 3.23798355438, 2.82842712475
gd, dwell, 5, favorite, 8, Click, Yes, 7.76, 1.028, 0.259030534186, 23.6939288419, 25.1121908996
gd, dwell, 5, season, 6, Click, Yes, 7.859, 0.0, 0.243092924502, 13.6251684208, 13.3257099702
gd, dwell, 5, all, 3, Click, Yes, 2.072, 1.077, 0.0659116095925, 8.13218470223, 8.0
gd, dwell, 5, together, 8, Click, Yes, 10.245, 1.061, 0.324954233756, 19.9117740536, 18.7754679306
gd, dwell, 5, in, 2, Click, Yes, 1.342, 0.813, 0.282882463071, 2.27439029291, 2.2360679775
gd, dwell, 5, one, 3, Click, Yes, 2.254, 1.161, 0.377169300091, 6.55000246925, 7.30056307975
gd, dwell, 5, big, 3, Click, Yes, 1.873, 1.127, 0.128033851186, 4.98162361449, 5.52100952831
gd, dwell, 5, pile, 4, Click, Yes, 4.608, 0.0, 0.295443616172, 10.6588480849, 10.3792488567
gd, dwell, 6, they, 4, Click, Yes, 3.268, 1.145, 0.333496369572, 8.44458123528, 8.44283058237
gd, dwell, 6, might, 5, Click, Yes, 3.883, 1.032, 0.17669787309, 8.23842270381, 7.4953580413
gd, dwell, 6, find, 4, Click, Yes, 3.451, 0.945, 0.261275305535, 8.79955492799, 9.51617786678
gd, dwell, 6, your, 4, Click, Yes, 3.052, 0.979, 0.301782703686, 8.14188951344, 8.0
gd, dwell, 6, comment, 7, Click, Yes, 6.305, 1.028, 0.296827969032, 18.6592923255, 20.3069606715
gd, dwell, 6, offensive, 9, Click, Yes, 8.693, 0.0, 0.199067875701, 26.4682921641, 27.518604394
gd, dwell, 6, the, 3, Click, Yes, 1.824, 0.979, 0.185353185166, 5.39945341868, 5.44283058237
gd, dwell, 6, cream, 5, Click, No, 3.899, 1.161, 0.309798243074, 10.6387890487, 11.3792488567
gd, dwell, 6, rises, 5, Click, Yes, 3.865, 1.061, 0.305624834272, 12.4361457771, 11.8262379212
gd, dwell, 6, to, 2, Click, Yes, 0.996, 0.945, 0.0796772767771, 4.02251759933, 4.0
gd, dwell, 6, the, 3, Click, Yes, 2.306, 0.945, 0.178249734167, 5.89898176989, 5.44283058237
gd, dwell, 6, top, 3, Click, Yes, 1.857, 0.0, 0.203229384241, 4.91388043562, 5.0
gd, dwell, 6, please, 6, Click, Yes, 5.823, 1.277, 0.185289388073, 12.5799188963, 11.6153168342
gd, dwell, 6, follow, 6, Click, Yes, 4.859, 1.029, 0.222041694053, 13.637314131, 13.8458402061
gd, dwell, 6, the, 3, Click, Yes, 1.891, 1.045, 0.115974423643, 5.49086868458, 5.44283058237
gd, dwell, 6, guidelines, 10, Click, Yes, 11.777, 0.0, 0.281926295704, 21.6476175619, 24.7360686331
gd, dwell, 6, nothing, 7, Click, Yes, 6.087, 0.779, 0.170561871432, 14.915758862, 14.4728220154
gd, dwell, 6, wrong, 5, Click, Yes, 4.179, 0.996, 0.158294923848, 11.2814766956, 11.6312027625
gd, dwell, 6, with, 4, Click, Yes, 3.167, 0.979, 0.24830354197, 10.1846741539, 10.8027756377
gd, dwell, 6, his, 3, Click, Yes, 1.891, 0.945, 0.170688964519, 7.07284708553, 7.39294558148
gd, dwell, 6, style, 5, Click, Yes, 4.246, 0.0, 0.36697266637, 12.4183034099, 13.9091105672
gd, dwell, 6, a, 1, Click, Yes, 0.0, 1.194, 0.353368684931, 0, 0
gd, dwell, 6, problem, 7, Click, Yes, 7.281, 1.045, 0.226991103439, 31.2898215638, 30.2072442462
gd, dwell, 6, with, 4, Click, Yes, 3.035, 1.51, 0.274568458006, 10.3371994508, 10.8027756377
gd, dwell, 6, the, 3, Click, Yes, 2.057, 1.145, 0.11264088808, 5.77650317338, 5.44283058237
gd, dwell, 6, engine, 6, Click, Yes, 6.038, 0.0, 0.19604973677, 15.9869003474, 15.6756979288
